Report Date,Sol,Writer,Non-Nominal Systems,Notes on Non-Nom. Sys,Generator,Solar (SOC%),Diesel,Propane,Ethanol-Free Gasoline (gal),Water: Loft Tank (gal),Water: Meter (units),Water: Static Tank (gal),Pump Use,Water in GreenHab (gal),Water in ScienceDome (gal),Toilet Emptied?,Perseverance,P_Hours,P_Charge_Start,P_Charge_End,P_Charge_Status,Sojourner,So_Hours,So_Charge_Start,So_Charge_End,So_Charge_Status,Spirit,Sp_Hours,Sp_Charge_Start,Sp_Charge_End,Sp_charge_Status,Opportunity,O_Hours,O_charge_start,O_charge_end,O_charge_status,Curiosity,C_Hours,C_charge_start,C_charge_end,C_charge_status,Deimos,D_Hours,D_Charge_Start,D_Charge_End,D_Charge_Status,Rover Notes,ATV,HabCar,CrewCar,General Notes,Internet Status,Suits & Radio Status,Observatory,Health & Safety,HAB Notes,GreenHab Notes,ScienceDome Notes,RAM Notes,Questions
Crew 202  02 JAN 2019,SOL  4,Kasey Hilton,Spirit rover battery  Power system,Spirit and Curiosity were used today in EVA and Spirit returned with far less battery than Curiosity even though they traveled the same distance in the same conditions  The power system was malfunctioning when the generator was being turned on.,,64%,73%,52%,Not in use,,01397619,Mostly full  about a foot below the top  480,No,Mostly full  250  assuming that the tank is 300 lons,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Non nominal systems    battery  Power system,Not applicable,Not applicable,Not applicable,Not applicable,No  Still out of brake fluid,45.4,100%,100%,Yes,Notes on non nominal systems  Spirit and Curiosity were used today in EVA and Spirit returned with far less battery than Curiosity even though they traveled the same distance in the same conditions  The power system was malfunctioning when the generator was being turned on.,Not applicable,Not applicable,Not applicable,Not applicable,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Spirit returned with 23% and Curiosity returned with 50% even though both the rovers traveled the same distance in the same amount of time and in the same conditions. The hours of use for today s EVA for Spirit from start to finish was 0.5hr while the hours of use for Curiosity was 0.7hr.,None,Not used  Back on campus,Off site,Spent the first half of the day on an EVA. Radios  rovers  and suits were functioning as they should have. The generator around 19 00 shut off and will not turn back on for the night.,Nothing to report,Nothing to report,There is no power in the Hab due to power conservation mode.,The lights in the GreenHab are not on due to being in power conservation mode.,Nothing to report,Musk Observatory   Nothing to report  Robotic observatory   Dome is closed due to power conservation.,Nothing to report,Nothing to report,Nothing to report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crew 202  31 DEC 2018,SOL  2,Kasey Hilton,Suits  3    7  electric tea kettle  and hot water heater,Two piece suit  3 and one piece suit  7 won t turn on even when plugged in  Electric tea kettle in kitchen does not turn on even when we plugged it into a different outlet  Hot water heater ignitor doesn t work so there is not hot water in the Hab.,,86%,75%,57%,Not in use,Static to Loft Pump used   Yes  At 6 24 PM to refill,01397146,Full  530,Yes  At 6 24 PM to refill loft tank,Full  280  assuming that the tank is 300 lons,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes,63.4,84%,74%,Yes,Yes,45.2,90%,83%,Yes,Yes,61.5,100%,74%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,None,1hr,Off site,Off site,Spent the first half of the day training for EVAs and ATVs. The second half of the day was spend doing two EVAs  both to Marble Ritual and back.,Nothing to report,Two piece suit  3 and one piece suit  7 air flow not working as reported from yesterday and mentioned above in  Non nominal systems,The hot water heater igniter doesn t work and there is not hot water in the Hab as mentioned above in  Non nominal systems,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,I have not heard anything about the two piece suit  3 since it was reported about 2 days ago.
Crew 202  30 Dec 2018,SOL  1,Kasey Hilton,Kitchen sink  Extension cord plugged into static tank,The hot water gasket is leaking from the kitchen sink. We have to turn off the line below the sink in order for it to not drip from the faucet  The extension cord plugged into the static tank melted and had to be replaced with a new extension cord.,,73%,75%,59%,Not in use,,01396935,Non nominal systems  Kitchen sink  Extension cord plugged into,Yes  Used once at 7 22 AM to refill and once at 6 57 PM to top off for the next day,Full,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,No,63.0,100%,100%,Yes,No,44.8,100%,100%,Yes,No,61.2,100%,100%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,None,None,Yes  Used to fill up static and GreenHab water tanks  To Hanksville gas station and back,Not used,Spent most of the day refilling the water tanks and remaining crew did some chores back in the Hab,Nothing to report,Two piece suit  3 air flow still not working as reported from yesterday,The hot water handle for the kitchen sink does not work as mentioned above in  Non nominal systems  section  Hot water gasket does not work correctly so the faucet leaks if the hot water line is not turned off below the sink.,Nothing to report,Nothing to report,Final adjustments to the lunar automatic telescope are being made by CMD before starting use  Nothing to report on Musk Observatory,Nothing to report,Nothing to report,None
Crew 201  29 Dec 2018,SOL  14,César Augusto Serrano Baza,Generator Autostart,None,,78%,Around 75%,61%,N A .,,01396602,Around half of the tank  around 175 .,Water  loft       yes,Medium level  80%,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,X,NO,63,100%,100%,YES,NO,44.8,100%,100%,YES,NO,61.2,100%,100%,YES,no  still not functional,0,,,no,Nothing to report.,Nothing to report.,Yes  Refill the water of the static tank.,Yes  to pick up the crew 202.,We cleaned the whole station and also we welcome the crew 202.,Nothing to report.,We figured out again that the 2 piece suit still has the airflow problem. We did the troubleshooting of the last time and we know that the battery is still working but the air is not flowing inside the helmets as it has to flow.,,Nothing to report.,Nothing to report.,Musk Solar observatory   Nominal. RObotic Observatory   Nominal.,We cleaned the RAM at 100%,Nothing to report.,We are going back to Earth  Thanks MDRS for the support
,SOL  13,César Augusto Serrano Baza,Generator Autostart,None,,65%,Around 73%,67%,N A .,,01395823,Medium to low level  around 94.,Water  loft       yes,Medium level  35%,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,X,NO,63,100%,100%,YES,NO,44.8,100%,100%,YES,NO,61.2,100%,100%,YES,no  still not functional,0,,,no,Nothing to report.,Nothing to report.,Not used.,Not used.,We cleaned the tunnels due to the snow accumulation last night.,Nothing to report.,Nothing to report.,,Nothing to report.,Nothing to report.,Musk Solar observatory   Nominal. RObotic Observatory   Nominal.,We cleaned the 80% of it. We found a water leak in the first up window.,Nothing to report.,Nothing to report.
,SOL  12,César Augusto Serrano Baza,Generator Autostart,None,,78%,Around 74%,69%,N A .,,01395509,Medium to low level  around 100  See general notes and comments .,Water  loft       yes,Medium level  37%,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,X,NO,63,100%,100%,YES,NO,44.8,100%,100%,YES,NO,61.2,100%,100%,YES,no  still not functional,0,,,no,Nothing to report.,Nothing to report.,Not used.,Not used.,Water  static tank    Medium to low level  around 100 gallons  See  .,Nothing to report.,Nothing to report.,,Nothing to report.,Nothing to report.,Musk Solar observatory   Nominal. RObotic Observatory   Nominal.,Nothing to report.,Nothing to report.,Nothing to report.
,SOL  11,César Augusto Serrano Baza,Generator Autostart,None,,86%,Around 74%,71%,N A .,,01395246,Medium level  around 122,Water  loft       yes,Medium level  40%,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,X,NO,63,100%,100%,YES,NO,44.8,100%,100%,YES,NO,61.2,100%,100%,YES,no  still not functional,0,,,no,Nothing to report.,Nothing to report.,Not used.,Not used.,Nothing to report.,Nothing to report.,Nothing to report.,,Nothing to report.,Nothing to report.,Musk Solar observatory   We discovered that there is a water Leak in the observatory. See the pictures attached. Robotic Observatory   Nominal.,Nothing to report.,Nothing to report.,Nothing to report.
Crew 201  25 Dec 2018,SOL  10,César Augusto Serrano Baza,Generator Autostart,None,,79%,Around 75%  We saw that we had a wrong measurement the last 2 days .,72%,N A .,,01394934,Medium level  around 185,Water  loft       yes,Medium level  43%,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,X,NO,63,100%,100%,YES,NO,44.8,100%,100%,YES,NO,61.2,100%,100%,YES,no  still not functional,0,,,no,Yesterday we sent a bad information with the Curiosity info. It was 71% at the end of the EVA.,Nothing to report.,Not used.,Not used.,We realized that we have 2 water leak in the kitchen comming from the extractor. This because of the rain .,Nothing to report.,Nothing to report.,,Nothing to report.,Nothing to report.,Musk Solar observatory   Nominal. RObotic Observatory   Nominal.,Nothing to report.,Nothing to report.,Nothing to report.
,SOL 9,César Augusto Serrano Baza,Generator Autostart,None,,77%,Around 71%,74%,N A,,01394271,High Level  around 215,Water  loft       yes,Medium level  47%,,Yes,,,,,,ASSIGNED TO DIRECTOR,,,,X,NO,63,100%,100%,YES,NO,44.8,100%,100%,YES,YES,61.2,100%,100%,YES,no  still not functional,0,,,no,We used curiosity for today s EVA.,Nothing to report.,Not used.,Not used.,Nothing to report.,Nothing to report.,Suit 4 still has not enough air flow.,,Nothing to report.,Nothing to report.,Musk Solar observatory   Robotic Observatory   Nominal.,Nothing to report.,Nothing to report.,MERRY CHRISTMAS
,SOL 7,César Augusto Serrano Baza,Generator Autostart,None,,41%,Around 73%,76%,N A .,,01393538,High Level  around 260,Water  loft       yes,Medium level  58%,,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,63,100%,100%,YES,YES,44.8,100%,58%,YES,YES,60.5,100%,62%,YES,no  still not functional,0,,,no,The batteries of the used rovers are discharging fastly  around 40% in the first 15 min. So  for the EVA to be successful the astronauts had to walk.,Unknown. They were ridden about 1 km each.  ATVs   The Honda tire was inflated today in the morning engineering review.,Not used.,Not used.,Nothing to report.,Nothing to report.,The 2 Piece suit number 3 is still showing some malfunction with the airflow  because the helmet still gets foggy.,,The GreenHab radios are marked now in the Hab.     Nothing to report.,Nothing to report.,Musk Solar observatory   Nominal. Robotic Observatory   Nominal.,Nothing to report.,Nothing to report.,Nothing to report
,SOL 5,César Augusto Serrano Baza,Generator Autostart,None,,79%%,77%,80%,N A .,,01392989,High Level  around 300,Water  loft       yes,Medium level  65%,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,63,100%,100%,YES,NO,44.2,100%,100%,YES,NO,60,100%,100%,YES,no  still not functional,0,,,no,Nothing to report.,0,Not used.,Not used.,We had one walk EVA for the selection of some places to perform one experiment.,Nothing to report.,The 2 piece suits number 3  4 and 6 were checked today. Number 3 is working fine. Number 4 had a bit cutted the inside mechanical joint  so the air flow was not the best. We temporary fix it. Suit number 6 had one stocked fan. We followed the instructions of Capcom in order to fix it and it is working fine. Find attached pictures,,NOthing to report.,Nohing to report.,Musk Solar observatory   Nominal. RObotic Observatory   In use at 17 06,We have been working some engineering and experiments here. All good.,The provided smoke detector has been installed.,Find attached the photos of the suits while repairing and the one that we saw with one damage.
Crew 201  20 DEC 2018,SOL 5,César Augusto Serrano Baza,Generator Autostart,None,,79%%,77%,80%,N A .,,01392989,High Level  around 300,Water  loft       yes,Medium level  65%,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,,NO,63,100%,100%,YES,NO,44.2,100%,100%,YES,NO,60,100%,100%,YES,no  still not functional,0,,,no,Nothing to report.,0,Not used.,Not used.,We had one walk EVA for the selection of some places to perform one experiment.,Nothing to report.,The 2 piece suits number 3  4 and 6 were checked today. Number 3 is working fine. Number 4 had a bit cutted the inside mechanical joint  so the air flow was not the best. We temporary fix it. Suit number 6 had one stocked fan. We followed the instructions of Capcom in order to fix it and it is working fine. Find attached pictures,,NOthing to report.,Nohing to report.,Musk Solar observatory   Nominal. RObotic Observatory   In use at 17 06,We have been working some engineering and experiments here. All good.,The provided smoke detector has been installed.,Find attached the photos of the suits while repairing and the one that we saw with one damage.
Crew 201  19 Dec 2018,SOL 4,César Augusto Serrano Baza,Generator Autostart,None,,59%,79%,82%,N A .,,01392718.5,High Level  around 310,Water  loft       yes,High level  85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musk Solar observatory   Nominal. Robotic Observatory   Nothing to report.,,Nothing to report.,Nothing to report.
,SOL  3,César Augusto Serrano Baza,Generator Autostart,None,,86%,85%,19%  In the black line  almost in the red zone,N A .,,6,High Level  around 320,Water  loft       yes,High level  85%,,NO,,,,,,ASSIGNED TO DIRECTOR,,,,,Not used,63,100%,100%,YES,Not used,43.9,100%,100%,YES,Not used,59.6,100%,100%,YES,no  still not functional,0,,,no,Rover Opportunity and Spirit were not charging yesterday. Today in the morning  Director fixed that problem. Now  all the rovers crew are 100% battery and charging.,0,Not used.,Not used.,We cleaned a bit the habitat and started assembling the experiments.,Nothing to report.,In the engineering morning review of the habitat status We discovered that one suit is not working as it has to be  see  .,,Nothing to report.,Director and me saw something weird in the generator control  see summary of ScienceDome .,Musk Solar observatory   Nominal. Robotic Observatory   Nothing to report.,We noticed that  when the generator shuts down  the switch affects  for may be 1 second  the energy. This because the energy goes off in this second.  For more detail see Summary Science Dome .,We received now one smoke detector for the Musk Observatory.,We will wait news of the Generator.
Crew 201  17 Dec 2018,SOL 2,César Augusto Serrano Baza,Generator Autostart,None,,64%,88%,20%,N A .,,6,High Level  around 535,Water  loft       yes,High level  90%,,YES,,,,,,ASSIGNED TO DIRECTOR,,,,,Not used,63,68%,68%,NOT CHARGING,Not used,43.9,75%,75%,NOT CHARGING,Used for EVA Training. 1 couple each 25 minutes,59.6,100%,80%,YES,no  still not functional,0,,,no,Curiosity Rover was used today for the EVA training for the whole crew. The rovers Opportunity and Spirit were not charging during the day  so we could not use them.,0,Not used.,Not used.,We did a Training EVA in the place called marble ritual,Nothing to report.,We used the Suits  8  9  10 and 4  for the EVA training. They were cleaned by the inside after using them and charging.,Nothing to report.,Cool down with an airflow to keep the temperature lower than 70  Fahrenheit. Director will bring new sticky pads.,Nothing to report.,Musk Solar observatory   Nominal. Robotic Observatory   Nothing to report.,Director reset the circuit breakers. The RAM still not charging the rovers,The smoke detectors and CO2 has been activated in every place  except in the musk observatory due to there are not any of them. In the science lab  the CO2 detectors were activated.,We asked the Director for technical support for the Rovers. At the time of the report  Opportunity and Spirit are not charging and the cause still unknown.
